time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.78453376246e-07,4.47526999279e-07,10.0029178068,0.000251691134524,0.000325323924288,0.0,-4.13181065105e-05,3.19662274569e-05,0.0972561637925,0.00838995092999,0.0108444134783,0.0,435.23377053408416,436.140217931981,436.01947683569085,436.7196627874943
0.12000000000000001,-1.13449412431e-05,8.74659506022e-06,10.0092039351,0.000841455428771,0.00111286835725,0.0,-0.000383910562026,0.000294834294704,0.112279857615,0.0112688633868,0.0154070207566,0.0,409.45689199606244,409.8624188795735,408.34297410727135,408.5995509680779
0.18,-6.35041095821e-05,4.80157028339e-05,10.0202302145,0.00170915706064,0.00253441581214,0.0,-0.00149080260264,0.00110123145516,0.255240608487,0.0176544490172,0.0319772072581,0.0,450.62007317717763,451.9573410851682,449.14882369307907,449.66620111410305
0.23999999999999996,-0.00021585870781,0.000155373284013,10.039531095,0.00279223610209,0.00464577416484,0.0,-0.00380636509465,0.00259218901965,0.388084691276,0.0184481621,0.0384008004944,0.0,446.86900976620285,447.39271273495854,447.4136014020098,447.4781384356691
0.3,-0.000569181238786,0.000384067185069,10.0700957742,0.00316591653939,0.00622884136863,0.0,-0.0081950325932,0.00510673492453,0.630634016264,-0.00599221012444,0.0143699569116,0.0,481.32879484454105,479.50726390943777,480.91068359425884,479.05606971601594
0.36000000000000004,-0.0011976054679,0.000755832084804,10.1116472473,0.002331735841,0.00719280398173,0.0,-0.0128501090262,0.00721387303039,0.754340648805,-0.0218137555541,0.0177620611842,0.0,444.9845523664135,445.2620080254024,445.111074086755,443.8146807213235
0.4200000000000001,-0.00213007102357,0.0012338863824,10.1610213261,0.00088102899803,0.0085553051383,0.0,-0.0183671812195,0.00857021450061,0.891363940753,-0.0265428964592,0.0276542272706,0.0,448.5680090461573,449.37049029995416,449.4222310548761,449.0387623210466
0.48000000000000015,-0.00343676641447,0.00176155038307,10.2200020874,6.28241316585,0.00992788906621,0.0,-0.0253558071339,0.00883182595866,1.07450556613,-0.0285626485955,0.0180990922171,0.0,464.378881426645,463.62891314707826,462.78990853240765,462.6307797233168
0.5400000000000001,-0.00519412781701,0.00226652315937,10.2900418049,6.28088391237,0.0113762395663,0.0,-0.0333732419939,0.00781842053262,1.25996375795,-0.0224128528883,0.0301787101537,0.0,463.4610818736423,464.4094343269993,464.61356933604975,465.09530088065833
0.6000000000000002,-0.00748852272014,0.00267252416915,10.3729690205,6.27982880082,0.0128784511187,0.0,-0.0433011712219,0.00557366960698,1.50398537797,-0.0127578466663,0.0198956493258,0.0,483.291022397477,482.51552994018795,480.7290069724476,481.46003991699223
0.6600000000000003,-0.0103927002146,0.00292494844037,10.4688878442,6.27888873642,0.0142474269927,0.0,-0.053652319187,0.00273983641825,1.69304553204,-0.0185775416162,0.0257366233211,0.0,466.8989110548142,467.3543419907661,466.1152573310103,465.6603836427464
0.7200000000000003,-0.0138878542292,0.00300304918916,10.5716714293,6.27693681514,0.0169407485955,0.0,-0.063067110259,-0.000291948382476,1.73300978945,-0.0464845206404,0.0640364332177,0.0,418.7415458592919,422.0608467756915,421.4448328367658,419.02565616251394
0.7800000000000004,-0.0181982679945,0.00278461445435,10.6877569328,6.27430973493,0.0211397545707,0.0,-0.0812005389136,-0.00737818678876,2.13583087847,-0.0410855238205,0.0759277841927,0.0,526.5063729301432,527.3310684131646,526.9906177709655,527.3628419077487
0.8400000000000004,-0.0235598713414,0.00213327134188,10.8205112167,6.27137982584,0.0257093486105,0.0,-0.0980146024367,-0.014635201667,2.28900255731,-0.0565759263307,0.0763918968933,0.0,456.97193657257367,457.0133216625735,459.3369996833359,458.10576738121716
0.9000000000000005,-0.0300937367559,0.000950961224448,10.9647942715,6.2687840838,0.0300055518761,0.0,-0.120301189119,-0.0251162829584,2.51993253121,-0.0299526787723,0.0668172383808,0.0,482.1511269173553,481.4309621899535,480.32983256076324,482.3433055536445
0.9600000000000005,-0.0379628883197,-0.000870211833251,11.1195434687,6.26608791139,0.033210134894,0.0,-0.1423593503,-0.035836170395,2.63809161407,-0.059916235597,0.0400072320042,0.0,450.11462405094045,447.94208788367257,449.8170133250699,447.3831242199186
1.0200000000000005,-0.0472762122882,-0.00342522345956,11.2830358721,6.2631721029,0.0364806417828,0.0,-0.168407356852,-0.0496777767757,2.81122505458,-0.0372811122394,0.0690051934941,0.0,464.927699723584,467.19558232703673,465.3841723493425,467.15080800993184
1.0800000000000005,-0.0581396703547,-0.00682039550175,11.4543760797,6.26135072919,0.0413560506437,0.0,-0.194164289863,-0.0636862429842,2.89986890311,-0.0234325688263,0.0935019478033,0.0,440.0847539236592,442.1125653769783,440.51888961448174,441.6621195693802
1.1400000000000006,-0.0707426702139,-0.0111401453227,11.6332076281,6.25921295199,0.0461189993098,0.0,-0.226478152954,-0.0805056807676,3.06073190744,-0.0478246594685,0.065271215675,0.0,464.81615700761193,462.60401919722796,465.0427939777996,463.1278712126344
1.2000000000000006,-0.0855435330272,-0.0166017916581,11.825025087,6.25713740583,0.0502973275852,0.0,-0.267369953281,-0.101828076082,3.33239290772,-0.0213631143197,0.0740044252009,0.0,496.1465632327252,496.79030600859994,496.58885529034404,498.52550344206327
1.2600000000000007,-0.102611775477,-0.0232384038145,12.0273634526,6.25602611597,0.0543305319968,0.0,-0.301972405606,-0.11950107748,3.41195276097,-0.0156800853995,0.0604388991362,0.0,441.9854121650015,440.8696590301964,441.1696567519667,441.6386978908244
